name,start,stop
i,10467.68,10467.746666666668
a,10467.853333333334,10467.986666666668
b,10468.046666666667,10468.140000000001
c,10468.166666666668,10468.286666666667
d,10468.36,10468.473333333333
a,10468.6,10468.726666666667
b,10468.793333333335,10468.846666666668
c,10468.92,10469.033333333335
i,10838.053333333333,10838.086666666668
i,11078.093333333334,11078.133333333333
i,11078.220000000001,11078.306666666667
i,11078.426666666668,11078.466666666667
i,11078.58,11078.62
i,11078.746666666668,11078.786666666667
i,11078.880000000001,11078.913333333334
a,11078.980000000001,11079.106666666667
b,11079.166666666668,11079.26
c,11079.293333333335,11079.406666666668
i,11079.526666666667,11079.566666666668
i,11079.653333333334,11079.693333333335
a,11079.820000000002,11079.953333333335
b,11080.013333333334,11080.106666666667
c,11080.140000000001,11080.253333333334
i,11118.226666666667,11118.266666666668
i,11182.486666666668,11182.52
i,11226.326666666668,11226.36
i,11240.726666666667,11240.76
i,11248.353333333334,11248.386666666667
i,11390.800000000001,11390.833333333334
i,11482.513333333334,11482.546666666667
i,11666.946666666667,11666.980000000001
i,11675.573333333334,11675.606666666667
i,12499.04,12499.073333333334
i,12499.413333333334,12499.446666666667
i,12499.846666666668,12499.886666666667
i,12500.013333333334,12500.046666666667
i,12500.366666666667,12500.406666666668
i,12500.5,12500.54
i,12500.653333333334,12500.693333333335
a,12500.786666666667,12500.92
b,12500.986666666668,12501.08
c,12501.113333333335,12501.233333333334
d,12501.313333333334,12501.426666666668
a,12501.553333333333,12501.693333333335
b,12501.753333333334,12501.806666666667
c,12501.886666666667,12502.0
d,12502.093333333334,12502.206666666667
a,12502.333333333334,12502.480000000001
b,12502.54,12502.593333333334
c,12502.666666666668,12502.786666666667
a,12503.086666666668,12503.226666666667
b,12503.293333333335,12503.346666666668
c,12503.426666666668,12503.54
i,12503.740000000002,12503.78
a,12503.92,12504.060000000001
b,12504.12,12504.18
c,12504.253333333334,12504.373333333335
d,12504.466666666667,12504.58
a,12504.713333333335,12504.846666666668
b,12504.913333333334,12504.966666666667
c,12505.046666666667,12505.160000000002
i,12505.506666666668,12505.546666666667
a,12505.693333333335,12505.813333333334
i,12506.526666666667,12506.566666666668
i,12506.68,12506.720000000001
a,12506.86,12507.0
b,12507.060000000001,12507.12
c,12507.186666666668,12507.306666666667
i,13099.293333333335,13099.326666666668
i,13108.206666666667,13108.240000000002
i,13133.86,13133.893333333333
i,13549.453333333335,13549.486666666668
i,13549.566666666668,13549.606666666668
i,13549.7,13549.740000000002
i,13549.960000000001,13550.0
i,13550.086666666668,13550.126666666667
i,13550.206666666667,13550.240000000002
a,13550.300000000001,13550.433333333334
b,13550.493333333334,13550.546666666667
c,13550.62,13550.733333333334
d,13550.806666666667,13550.92
a,13551.04,13551.173333333334
b,13551.240000000002,13551.286666666667
c,13551.366666666667,13551.473333333333
i,13551.626666666667,13551.666666666668
a,13551.800000000001,13551.926666666668
b,13551.993333333334,13552.04
c,13552.12,13552.226666666667
i,13552.426666666668,13552.466666666667
i,13552.533333333335,13552.566666666668
a,13552.6,13552.726666666667
b,13552.800000000001,13552.853333333334
c,13552.926666666668,13553.04
d,13553.12,13553.233333333334
a,13820.213333333335,13820.286666666667
c,13820.433333333334,13820.466666666667
i,13820.993333333334,13821.033333333335
i,13821.146666666667,13821.193333333335
i,13821.326666666668,13821.366666666667
i,13821.466666666667,13821.513333333334
i,13821.6,13821.640000000001
a,13821.713333333335,13821.86
b,13821.92,13822.013333333334
c,13822.04,13822.153333333334
d,13822.233333333334,13822.34
a,13822.460000000001,13822.626666666667
b,13822.660000000002,13822.706666666667
c,13822.786666666667,13822.893333333333
d,13823.0,13823.113333333335
a,13823.233333333334,13823.36
b,13823.433333333334,13823.486666666668
c,13823.560000000001,13823.666666666668
c,14022.253333333334,14022.326666666668
i,14092.086666666668,14092.126666666667
i,14092.2,14092.233333333334
i,14117.820000000002,14117.853333333334
i,14216.486666666668,14216.52
c,14301.346666666668,14301.44
c,14622.593333333334,14622.640000000001
i,14623.12,14623.160000000002
i,14623.240000000002,14623.286666666667
i,14623.373333333335,14623.42
i,14623.500000000002,14623.54
i,14623.640000000001,14623.686666666668
